Username,Approval,Twitter URL,Followers,ETH Address,Payout #1,Payout #2,Payout #3,Payout #4,Payout #5
gennadyg,✓,https://twitter.com/cifluchother191,2327,0x803E7aCDB76F217Ee255df3BC95923587DB80db4,20,18,15,15,15
vennz17,✓,https://twitter.com/Venz_VM,1013,0xe26e501a38a8a3Bf18078215FAa32e29A3734139,20,18,15,15,15
eye4bd,✓,https://twitter.com/Eye4bd,1282,0x5Cfe303601B458D56Fb0fA51BCF94E457Ca23AA2,20,18,15,15,15
hiziridiyunusidi,✓,https://twitter.com/damfar33,1800,0xE1B8F05cb08F23F8143eFf88A980249fE1D8Ed86,20,18,15,15,15
NakiRR,✓,https://twitter.com/HackedHamster,8700,0x9AEcD66Ccbe84620f959cdf0AB94b07A3439e282,20,18,15,15,15
una1y1henderson75,✓,https://twitter.com/libra16101991,1200,0x41a75DDa1b28b88fBa8b6D1343934Ed9639b4ce1,20,18,15,15,15
maximhkn,✓,https://twitter.com/skrypynk,512,0xC2098c8342Af9f605Aa5a3B52CFC77903E78eD6A,20,18,15,15,15
Noobaru,✓,https://twitter.com/altcoinpromoter,1159,0x52E99D3b8A85e858673e62B968519C8866306596,20,18,15,15,15
oerdogan,✓,https://twitter.com/oerdogan64,747,0x2dF33Addd6997A776d43EBEC571801d76E766294,20,18,15,15,15
forLexx,✓,https://twitter.com/forlexx,10.5K,0xFb6BFF51675C7fCc4a3bcceB556a00F6e51c69f4,20,18,15,15,15
aininkecil,✓,https://twitter.com/re_Bounty,4100,0xc3448840Cd369D69c992C4695dAaFFb7b3E11B6e,20,18,15,15,15
reil2014,✓,https://twitter.com/CeliciousFarah7,1200,0xF41A389f9b1673c8829B170B70D218a454558d4E,20,18,15,15,15
laevatein906,✓,https://twitter.com/dewianjas7,11.5K,0x58da93370Ce03f7036675330f7F1C09fc0d63fc8,20,18,15,15,15
Wijaya777,✓,https://twitter.com/@mmanami7,14.6K,0x87dB93854D9d4f71a8ad1fbd37dd83C1A272731F,20,18,15,15,15
habibruis,✓,https://twitter.com/sazedahabib,1675,0xf2e92102a59AAe1280f890a2442257A37350eF5A,20,18,15,15,15
soikot0012,✓,https://twitter.com/SaykatN,10.2K,0x8B46Aed455880da0C2e24C33AC78F6F42b1a2043,20,18,15,15,15
Milonsa,✓,https://twitter.com/Milonsa2,2400,0xf83FE3f93d2C2033A1cC96D33A409e81dE279180,20,18,15,15,15
Tnt1971,✓,https://twitter.com/kingdom_bitcoin,5300,0x6c71787bAf6a240CD597B0CFb7D0047fA37d08fE,20,18,15,15,15
travelgear17,✓,https://twitter.com/farjana1155,7800,0x8217606b2b80d7Cf85823f02E176f5E7423093Ef,20,18,15,15,15
Kuzeyli34,✓,https://twitter.com/TheNorth34,6246,0x51d81de97FA89fb2f1Fb65AE355342d1697c368e,20,18,15,15,15
dungkid2305,✓,https://twitter.com/kiddung1,770,0x3cD1d5a95b3131B9809aAf329fE39797F0054966,20,18,15,15,15
batuhantstknn,✓,https://twitter.com/cekoslavakyalik,813,0x2663797b2856A0B1A8ebd282B24437473d931B84,20,18,15,15,15
gospodin,✓,https://twitter.com/mordovia_fc,224,0xC29490f69FD2c2F8DF1BCED7Db5bc95d3010ac04,20,18,15,15,15
rebel92,✓,https://twitter.com/Rebeel92,2900,0x37ae8cf8d392f65a6517b1003d3596a722c6d94b,20,18,15,15,15
harussama01,✓,https://twitter.com/FajarAbu11,239,0xf62890dAA506f2177d5e7d4431934154731445f8,20,18,15,15,15
Aan lakuza,✓,https://twitter.com/0yhenGkZ7mTs3LZ,1489,0xaa11D53846c6C590CCe83BfAc699e06D8587037A4,20,18,15,15,15
JuliaJi,✓,https://twitter.com/PamelaARTshop,2924,0xfe9c19457C56cc7205830710c9085c62c65041C2,20,18,15,15,15
Derus-93,✓,https://twitter.com/Derus_93,5290,0x88D5A6488711B628D9b46df6aB0Ea5f1Be82f83b,20,18,15,15,15
deadmousehat,✓,https://twitter.com/dhinjr22,8658,0xdfb58d1593Dbaf515c3e28b4B6eabF144249eB2f,20,18,15,15,15
Laga08,✓,https://twitter.com/lakinet1,5800,0x4daFa3c40Be41AffB5363962d39E1C34861cB014,20,18,15,15,15
niethera,✓,https://twitter.com/justbeenpaidin,2040,0x6d008fF3111A579c78Bd82a084CDdEA109D6f5E0,20,18,15,15,15
dylanarora789,✓,https://twitter.com/rizwanalidsp,5100,0xe593c0158d4BB31428F7ed464aD1A83589ED5e3a,20,18,15,15,15
dddanijel,✓,https://twitter.com/dddanijelz,8474,0x782B805f789d3596f2Ca9a45D8f005FACaD79FA2,20,18,15,15,15
d_khusanov,✓,https://twitter.com/d_husanov,8800,0xf24e9F803C4A4a64F70128760AA2bA350591a1F7,20,18,15,15,15
Mantisa83,✓,https://twitter.com/Liliya495,4010,0x143f59A34CB2Bde47e7eD494A0Ac26FCC1bDa141,20,18,15,15,15
adiwibowosakti,✓,https://twitter.com/jamur_tiram_,1430,0x057007D3DDd33Ee9F1f08f72EB79259F9B29789D,20,18,15,15,15
Emazomi,✓,https://twitter.com/Investi78,1851,0xBB8A43365963b7Bb0c0E304B76Ae662b1CE2dcA8,20,18,15,15,15
CindyOctoviana,✓,https://twitter.com/IklanPnd,816,0x05F20ccCc9dFC9ADA49c02470b8F7b6A1B8977f4,20,18,15,15,15
seyola89,✓,https://twitter.com/Seyola9,2155,0x7d334D22F5BcDED7aC7219ec537C7d5448Bd1E4C,20,18,15,15,15
howlong3098,✓,https://twitter.com/TrnMinhVit2,886,0x621514b389f0c815bddf557d7b68aa2b2dac9157,20,18,15,15,15
Majharul Saiif,✓,https://twitter.com/crypto_anik,5015,0xFf8f48E8EFB97FFebc6413566463d135006FAbB1,20,18,15,15,15
